Character,Sentiment
"He's an obese albino shaman plagued by the memory of his family's brutal murder
",-0.875
"He's a war-weary zombie stage actor plagued by the memory of his family's brutal murder 
",-0.875
"He's a Nobel prize-winning umbrella-wielding sorceror plagued by the memory of his family's brutal murder
",-0.875
"He's a benighted drug-addicted messiah plagued by the memory of his family's brutal murder
",-0.875
"He's a jaded Amish cowboy plagued by the memory of his family's brutal murder
",-0.875
"He's a jaded Amish cowboy plagued by the memory of his family's brutal murder
",-0.875
"He's a hate-fuelled arachnophobic paramedic plagued by the memory of his family's brutal murder
",-0.875
"He's a one-legged devious paranormal investigator plagued by the memory of his family's brutal murder
",-0.875
"He's an obese albino shaman plagued by the memory of his family's brutal murder
",-0.875
"He's an obese albino farmboy plagued by the memory of his family's brutal murder
",-0.875
