Character,Sentiment
"She's a brilliant insomniac Hell's Angel from beyond the grave
",0.9
"She's a strong-willed hypochondriac mermaid with an incredible destiny 
",0.9
"She's a cold-hearted snooty bodyguard with an incredible destiny 
",0.9
"She's a cold-hearted snooty bodyguard with an incredible destiny 
",0.9
"She's a brilliant mute pearl diver on her way to prison for a murder she didn't commit
",0.9
"She's a manipulative belly-dancing museum curator with an incredible destiny,
",0.9
"She's a brilliant insomniac Hell's Angel from beyond the grave
",0.9
"She's a brilliant motormouth bodyguard with an incredible destiny 
",0.9
"She's a brilliant motormouth bodyguard with an incredible destiny 
",0.9
"She's a brilliant mute pearl diver on her way to prison for a murder she didn't commit
",0.9
