Character,Sentiment
"She's a mistrustful tempestuous magician's assistant with an evil twin sister 
",-1.0
"She's a strong-willed kleptomaniac politician with an evil twin sister 
",-1.0
"She's an orphaned cat-loving college professor with an evil twin sister 
",-1.0
"She's a virginal streetsmart femme fatale with an evil twin sister 
",-1.0
"She's a tortured hip-hop barmaid with an evil twin sister,
",-1.0
"She's an orphaned cat-loving college professor with an evil twin sister 
",-1.0
"She's a virginal streetsmart femme fatale with an evil twin sister 
",-1.0
"She's a strong-willed kleptomaniac politician with an evil twin sister 
",-1.0
"She's an orphaned cat-loving college professor with an evil twin sister 
",-1.0
"She's a ditzy cat-loving politician with an evil twin sister 
",-1.0
